Id	PosX	PosY	PosZ	ParamADescribe	ParamA	ParamBDescribe	ParamB	ParamCDescribe	ParamC	ParamDDescribe	ParamD	ParamEDescribe	ParamE	ClusterId
157	272.7	315	88.48	半径	5	无	0	无	0	无	0	无	0	-1
158	262.62	315	94.19	半径	5	无	0	无	0	无	0	无	0	-1
159	262.18	315	105.34	半径	5	无	0	无	0	无	0	无	0	-1
160	316.2	304.25	208.5	半径	3.14	无	0	无	0	无	0	无	0	-1
161	195.7	148.11	199.52	半径	-0.38	无	0	无	0	无	0	无	0	-1
189	316.37	310.14	178.81	朝向	-3.14	无	0	无	0	无	0	无	0	-1
200	112.94	288.07	37.75	朝向	-3.14	无	0	无	0	无	0	无	0	-1
237	181.07	300.01	391.32	朝向	-4.7	无	0	无	0	无	0	无	0	-1
250	179.38	304.59	11.09	朝向	1.57	无	0	无	0	无	0	无	0	-1
279	185.44	305.97	74.78	朝向	-0.15	无	0	无	0	无	0	无	0	-1
300	237	307	72	朝向	-3.14	无	0	无	0	无	0	无	0	-1
319	89.33048	309.03	178.1152	朝向	2.8	无	0	无	0	无	0	无	0	-1
350	216.2737	291.54	37.69726	朝向	-1.39	无	0	无	0	无	0	无	0	-1
399	2.7	297.17	210.62	朝向	-1.57	无	0	无	0	无	0	无	0	-1
400	358.3824	299.63	228.4081	朝向	3	无	0	无	0	无	0	无	0	-1
428	259.0381	300.01	165.6004	朝向	0.15	无	0	无	0	无	0	无	0	-1
450	199.89	309.4	155.47	朝向	1.57	无	0	无	0	无	0	无	0	-1
451	199.83	310	170.69	朝向	1.57	无	0	无	0	无	0	无	0	-1
452	183.48	309.1	178.18	朝向	-3.14	无	0	无	0	无	0	无	0	-1
453	170.7	309.09	178.28	朝向	-3.14	无	0	无	0	无	0	无	0	-1
454	155.6	309.1	178.2	朝向	-3.14	无	0	无	0	无	0	无	0	-1
455	134.8	309.1	178.21	朝向	-3.14	无	0	无	0	无	0	无	0	-1
456	119.4	309.11	178.15	朝向	-3.14	无	0	无	0	无	0	无	0	-1
457	102.4	309.09	178.33	朝向	-3.14	无	0	无	0	无	0	无	0	-1
458	85.6	310.18	178.4	朝向	-3.14	无	0	无	0	无	0	无	0	-1
459	75.79	310.11	178.4	朝向	-3.14	无	0	无	0	无	0	无	0	-1
500	202.34	294.44	52.55	朝向	-4.01	无	0	无	0	无	0	无	0	-1
501	196.83	292.74	59.08	朝向	-4.07	无	0	无	0	无	0	无	0	-1
502	187.2	291.98	66.9	朝向	-3.77	无	0	无	0	无	0	无	0	-1
503	172.8	293.14	75.4	朝向	-3.66	无	0	无	0	无	0	无	0	-1
504	157.3	295.2	80.52	朝向	-3.72	无	0	无	0	无	0	无	0	-1
505	138.81	296.18	93.4	朝向	-4.23	无	0	无	0	无	0	无	0	-1
506	138.66	297.91	107.59	朝向	1.57	无	0	无	0	无	0	无	0	-1
507	138.9	298.18	116.86	朝向	1.57	无	0	无	0	无	0	无	0	-1
508	138.66	298.22	126.8	朝向	1.57	无	0	无	0	无	0	无	0	-1
509	138.1	298.26	137.23	朝向	1.57	无	0	无	0	无	0	无	0	-1
510	137.8	298.19	149.23	朝向	1.57	无	0	无	0	无	0	无	0	-1
511	138.35	299.18	161.6	朝向	-3.14	无	0	无	0	无	0	无	0	-1
512	120.44	298.26	161.56	朝向	-3.14	无	0	无	0	无	0	无	0	-1
513	94.8	298.26	161.6	朝向	-3.14	无	0	无	0	无	0	无	0	-1
514	79	298.25	161.68	朝向	-3.14	无	0	无	0	无	0	无	0	-1
515	64.46	299.03	161.65	朝向	1.57	无	0	无	0	无	0	无	0	-1
516	64.19	298.33	178.2	朝向	1.57	无	0	无	0	无	0	无	0	-1
517	64.2	298.26	187.13	朝向	1.57	无	0	无	0	无	0	无	0	-1
518	64.32	298.26	198.02	朝向	1.57	无	0	无	0	无	0	无	0	-1
519	64.1	299	207.57	朝向	1.57	无	0	无	0	无	0	无	0	-1
520	58.9	299.06	210.59	朝向	-3.14	无	0	无	0	无	0	无	0	-1
521	46.8	298.19	210.61	朝向	-3.14	无	0	无	0	无	0	无	0	-1
522	28.8	298.18	210.57	朝向	-3.14	无	0	无	0	无	0	无	0	-1
540	202	310.5	178	朝向	-3.14	无	0	无	0	无	0	无	0	-1
541	197.9	310.5	178	朝向	0	无	0	无	0	无	0	无	0	-1
550	379.23	301.17	228.54	朝向	-3.41	无	0	无	0	无	0	无	0	-1
551	360.27	300.06	227.74	朝向	-3.04	无	0	无	0	无	0	无	0	-1
552	335.79	299.73	228.09	朝向	-2.94	无	0	无	0	无	0	无	0	-1
553	311.23	300.43	225.79	朝向	-3.06	无	0	无	0	无	0	无	0	-1
554	287.83	299.84	225.04	朝向	-2.82	无	0	无	0	无	0	无	0	-1
555	273.85	300.74	222.57	朝向	-3.13	无	0	无	0	无	0	无	0	-1
556	258.28	300.74	227.59	朝向	-3.93	无	0	无	0	无	0	无	0	-1
557	242.34	300.74	231.4	朝向	-2.82	无	0	无	0	无	0	无	0	-1
558	232.12	299.91	227.43	朝向	-2.82	无	0	无	0	无	0	无	0	-1
559	230.58	299.73	218.17	朝向	-1.02	无	0	无	0	无	0	无	0	-1
560	235.86	299.64	207.91	朝向	-1.13	无	0	无	0	无	0	无	0	-1
561	241.95	299.84	199.87	朝向	-0.71	无	0	无	0	无	0	无	0	-1
562	241.95	299.84	199.87	朝向	-0.71	无	0	无	0	无	0	无	0	-1
563	252.08	300.48	194.61	朝向	-0.42	无	0	无	0	无	0	无	0	-1
564	262.12	300.5	184.38	朝向	-1.15	无	0	无	0	无	0	无	0	-1
565	265.96	300.49	174.4	朝向	-1.87	无	0	无	0	无	0	无	0	-1
600	233.85	307.26	72.03	朝向	3.14	无	0	无	0	无	0	无	0	-1
601	223.31	307.26	72.03	朝向	3.14	无	0	无	0	无	0	无	0	-1
602	214.27	307.26	72.03	朝向	3.14	无	0	无	0	无	0	无	0	-1
603	200.04	307.26	75.19	朝向	1.57	无	0	无	0	无	0	无	0	-1
604	200.04	309.09	85.4	朝向	1.57	无	0	无	0	无	0	无	0	-1
605	200.04	309.09	96.48	朝向	1.57	无	0	无	0	无	0	无	0	-1
606	200.04	309.09	108.51	朝向	1.57	无	0	无	0	无	0	无	0	-1
607	200.04	309.09	121.24	朝向	1.57	无	0	无	0	无	0	无	0	-1
608	200.04	309.09	135.51	朝向	1.57	无	0	无	0	无	0	无	0	-1
609	200.04	309.09	147.03	朝向	1.57	无	0	无	0	无	0	无	0	-1
610	203.62	309.09	152.56	朝向	0.6	无	0	无	0	无	0	无	0	-1
611	210.43	309.09	161.83	朝向	1.06	无	0	无	0	无	0	无	0	-1
612	220.57	309.09	169.18	朝向	1.06	无	0	无	0	无	0	无	0	-1
613	224.38	309.09	178.17	朝向	0	无	0	无	0	无	0	无	0	-1
614	236.24	309.09	178.17	朝向	0	无	0	无	0	无	0	无	0	-1
615	253.07	309.09	178.17	朝向	0	无	0	无	0	无	0	无	0	-1
616	267.15	309.09	178.17	朝向	0	无	0	无	0	无	0	无	0	-1
617	279.23	309.09	178.17	朝向	0	无	0	无	0	无	0	无	0	-1
618	291.47	309.09	178.17	朝向	0	无	0	无	0	无	0	无	0	-1
619	307.58	309.09	178.17	朝向	0	无	0	无	0	无	0	无	0	-1
650	114.8241	288.28	37.40395	朝向	3.25	无	0	无	0	无	0	无	0	-1
651	98.54	288.2	40.02	朝向	2.67	无	0	无	0	无	0	无	0	-1
652	90.31	288.48	48.32	朝向	1.87	无	0	无	0	无	0	无	0	-1
653	83.95	288.73	63.81	朝向	2.09	无	0	无	0	无	0	无	0	-1
654	71.5	293.27	78.2	朝向	2.26	无	0	无	0	无	0	无	0	-1
655	59	297.4	95.1	朝向	1.89	无	0	无	0	无	0	无	0	-1
656	60.4	300.22	111.8	朝向	0.75	无	0	无	0	无	0	无	0	-1
657	71.2	300.32	123.1	朝向	0.77	无	0	无	0	无	0	无	0	-1
658	82.5	300.32	134.4	朝向	0.77	无	0	无	0	无	0	无	0	-1
659	93.9	300.32	145.8	朝向	0.77	无	0	无	0	无	0	无	0	-1
660	113.3	300.32	164.8	朝向	0.77	无	0	无	0	无	0	无	0	-1
661	130.1	300.32	181.8	朝向	0.77	无	0	无	0	无	0	无	0	-1
662	148.3	300.32	200.1	朝向	0.77	无	0	无	0	无	0	无	0	-1
663	158.9	299.42	215.1	朝向	0.77	无	0	无	0	无	0	无	0	-1
664	172.8	299.42	229.4	朝向	0.77	无	0	无	0	无	0	无	0	-1
665	186.2	299.22	241.1	朝向	0.77	无	0	无	0	无	0	无	0	-1
666	196.2	298.92	255.2	朝向	1.67	无	0	无	0	无	0	无	0	-1
667	195.2	298.84	269.99	朝向	1.67	无	0	无	0	无	0	无	0	-1
668	195.09	298.15	286.38	朝向	1.67	无	0	无	0	无	0	无	0	-1
669	188.27	298.44	304.8	朝向	1.67	无	0	无	0	无	0	无	0	-1
670	184.7	298.52	323.9	朝向	1.43	无	0	无	0	无	0	无	0	-1
671	188	299.02	339.3	朝向	0.99	无	0	无	0	无	0	无	0	-1
672	191.1	299.94	358.1	朝向	1.91	无	0	无	0	无	0	无	0	-1
673	182.8	300.09	378.4	朝向	1.57	无	0	无	0	无	0	无	0	-1
700	179.943	302.54	3.15	朝向	1.57	无	0	无	0	无	0	无	0	-1
701	178.54	304.78	13.07	朝向	1.57	无	0	无	0	无	0	无	0	-1
702	177.44	304.92	24.8	朝向	2.49	无	0	无	0	无	0	无	0	-1
703	178.51	304.92	43.04	朝向	1.67	无	0	无	0	无	0	无	0	-1
704	179.3	305.2	60.03	朝向	1.41	无	0	无	0	无	0	无	0	-1
705	50.18	343.02	71.3	无	0	无	0	无	0	无	0	无	0	-1
706	62.369	351.827	82.836	无	0	无	0	无	0	无	0	无	0	-1
707	127.21	310.45	219.57	无	0	无	0	无	0	无	0	无	0	-1
708	241.85	312.05	334.52	触发半径	20	无	0	无	0	无	0	无	0	-1
709	16.61	301.5	9.07	朝向	0	无	0	无	0	无	0	无	0	-1
710	120.79	307.07	272.88	无	0	无	0	无	0	无	0	无	0	-1
711	107.34	292.82	138.32	无	0	无	0	无	0	无	0	无	0	-1
712	98.33	293.97	124.09	无	0	无	0	无	0	无	0	无	0	-1
713	97.49	293.97	132.27	无	0	无	0	无	0	无	0	无	0	-1
714	98.8	292.68	136.7	无	0	无	0	无	0	无	0	无	0	-1
715	110.14	293.3	129.36	无	0	无	0	无	0	无	0	无	0	-1
716	113.44	293.09	126.56	无	0	无	0	无	0	无	0	无	0	-1
717	102.56	293.58	131.39	无	0	无	0	无	0	无	0	无	0	-1
718	100.95	294.38	140.32	无	0	无	0	无	0	无	0	无	0	-1
719	107.7	293.1	141.71	无	0	无	0	无	0	无	0	无	0	-1
720	107.3	293.73	121.55	无	0	无	0	无	0	无	0	无	0	-1
721	102.22	294.19	122.33	无	0	无	0	无	0	无	0	无	0	-1
722	109.4	293.9	125.88	无	0	无	0	无	0	无	0	无	0	-1
723	101.08	293.29	128.18	无	0	无	0	无	0	无	0	无	0	-1
724	105.25	293.03	126.16	无	0	无	0	无	0	无	0	无	0	-1
725	113.65	296.52	138.35	无	0	无	0	无	0	无	0	无	0	-1
726	111.28	294.49	132.82	无	0	无	0	无	0	无	0	无	0	-1
727	321	301.2	346.5	触发半径	6	无	0	无	0	无	0	无	0	-1
1000	267.08	327.71	364.56	朝向	-0.59	无	0	无	0	无	0	无	0	-1
1001	259.77	327.71	368.73	朝向	-1.05	无	0	无	0	无	0	无	0	-1
1002	264.92	327.71	369.31	朝向	-1.21	无	0	无	0	无	0	无	0	-1
1003	269.15	327.71	372.48	朝向	-1.07	无	0	无	0	无	0	无	0	-1
1004	266.74	327.71	375.96	朝向	-0.99	无	0	无	0	无	0	无	0	-1
1005	258.16	327.71	372.8	朝向	-1.27	无	0	无	0	无	0	无	0	-1
1006	261.61	327.71	375.66	朝向	-1.02	无	0	无	0	无	0	无	0	-1
1007	275.81	326.65	311.17	朝向	-0.59	无	21	无	0	无	0	无	0	-1
1008	268.5	326.65	315.34	朝向	-1.05	无	0	无	0	无	0	无	0	-1
1009	273.65	326.65	315.92	朝向	-1.21	无	0	无	0	无	0	无	0	-1
1010	277.88	326.65	319.09	朝向	-1.07	无	0	无	0	无	0	无	0	-1
1011	275.47	326.65	322.57	朝向	-0.99	无	0	无	0	无	0	无	0	-1
1012	266.89	326.65	319.41	朝向	-1.27	无	0	无	0	无	0	无	0	-1
1013	270.34	326.65	322.27	朝向	-1.02	无	0	无	0	无	0	无	0	-1
1014	343	327.71	237.93	朝向	-1.14	无	22	无	0	无	0	无	0	-1
1015	337.98	327.71	241.04	朝向	-1.05	无	0	无	0	无	0	无	0	-1
1016	340.84	327.71	242.68	朝向	-1.21	无	0	无	0	无	0	无	0	-1
1017	345.32	327.71	243.07	朝向	-1.07	无	0	无	0	无	0	无	0	-1
1018	344.33	326.62	247.52	朝向	-1.41	无	0	无	0	无	0	无	0	-1
1019	336.44	327.71	249.13	朝向	-1.27	无	0	无	0	无	0	无	0	-1
1020	340.21	327.71	249.2	朝向	-1.53	无	0	无	0	无	0	无	0	-1
1021	345.25	323.53	81.61	朝向	-1.92	无	23	无	0	无	0	无	0	-1
1022	343.09	323.53	85.92	朝向	-1.69	无	0	无	0	无	0	无	0	-1
1023	347.07	323.53	86.67	朝向	-1.82	无	0	无	0	无	0	无	0	-1
1024	350.62	323.53	84.23	朝向	-1.88	无	0	无	0	无	0	无	0	-1
1025	353.05	323.53	92.86	朝向	-1.72	无	0	无	0	无	0	无	0	-1
1026	344.84	323.53	94.28	朝向	-1.71	无	0	无	0	无	0	无	0	-1
1027	349.57	323.53	92.74	朝向	-1.69	无	0	无	0	无	0	无	0	-1
1028	289.54	326.56	37.08	朝向	-2.8	无	24	无	0	无	0	无	0	-1
1029	295.25	326.56	32.66	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1030	295.81	326.56	38.4	朝向	-2.93	无	0	无	0	无	0	无	0	-1
1031	303.98	326.56	36.43	朝向	-2.88	无	0	无	0	无	0	无	0	-1
1032	299.7	326.56	45.79	朝向	-2.3	无	0	无	0	无	0	无	0	-1
1033	293.61	326.56	41.88	朝向	-2.79	无	0	无	0	无	0	无	0	-1
1034	301.23	326.56	40.46	朝向	-2.45	无	0	无	0	无	0	无	0	-1
1035	213.8	327.71	27.83	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1036	217.37	327.71	24.39	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1037	217.3	327.71	27.94	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1038	221.6	327.71	24.44	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1039	221.81	327.71	32.43	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1040	217.44	327.71	31.65	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1041	222.84	327.71	27.93	朝向	-3.13	无	0	无	0	无	0	无	0	-1
1042	190.54	309.9	178.43	朝向	0	无	0	无	0	无	0	无	0	-1
1043	149.59	370	224.34	半径	50	无	0	无	0	无	0	无	0	-1
1044	124.31	303.42	125.64	半径	50	无	0	无	0	无	0	无	0	-1
1045	128	374.6	118.7	朝向	1.57	无	0	无	0	无	0	无	0	-1
1046	127.9	374.6	130	朝向	1.57	无	0	无	0	无	0	无	0	-1
1047	126.3	374.7	150	半径	20	无	0	无	0	无	0	无	0	-1
1048	81.56	301.4	100.24	半径	20	无	0	无	0	无	0	无	0	-1
1049	106.262	309.046	181.54	半径	2	无	0	无	0	无	0	无	0	-1
1050	87.44	310.32	309.18	半径	2	无	0	无	0	无	0	无	0	-1
1051	16.91	309.01	289	半径	2	无	0	无	0	无	0	无	0	-1
1052	103.25	309.11	267.82	半径	2	无	0	无	0	无	0	无	0	-1
1053	7.4	309.11	294	半径	2	无	0	无	0	无	0	无	0	-1
1054	49	309.11	290	半径	2	无	0	无	0	无	0	无	0	-1
1055	63.75	309	287.4	半径	2	无	0	无	0	无	0	无	0	-1
1056	58.7	309	287.4	半径	2	无	0	无	0	无	0	无	0	-1
1057	51.78	309	287.4	半径	2	无	0	无	0	无	0	无	0	-1
1058	46.76	309	287.4	半径	2	无	0	无	0	无	0	无	0	-1
1059	55.12	309.88	270.95	半径	2	无	0	无	0	无	0	无	0	-1
1060	75.26	309	288.17	半径	2	无	0	无	0	无	0	无	0	-1
1061	74	309	288.17	半径	2	无	0	无	0	无	0	无	0	-1
1062	76.5	309	288.17	半径	2	无	0	无	0	无	0	无	0	-1
1100	318.956	314.532	70.6	半径	-1.57	无	0	无	0	无	0	无	0	-1
1101	318.956	314.532	70.6	半径	-1.57	无	0	无	0	无	0	无	0	-1
1102	295.45	314.53	110	半径	1	无	0	无	0	无	0	无	0	-1
1103	322.34	321.24	200	半径	-0.25	无	0	无	0	无	0	无	0	-1
1104	334.11	320.4	204.72	半径	25	无	0	无	0	无	0	无	0	-1
1105	330.4	330.34	257	半径	15	无	0	无	0	无	0	无	0	-1
1106	316.8	314.5	100.87	半径	1	无	0	无	0	无	0	无	0	-1
1107	319.99	320.4	190.93	半径	1	无	0	无	0	无	0	无	0	-1
1108	329.29	329.77	250.68	半径	1	无	0	无	0	无	0	无	0	-1
1109	318.956	314.532	70.6	半径	5	无	0	无	0	无	0	无	0	-1
1110	322.3	314.53	107.52	半径	15	无	0	无	0	无	0	无	0	-1
1111	320.58	314.44	81.52	半径	10	无	0	无	0	无	0	无	0	-1
1120	68.19	341.3	40.5	朝向	0	无	0	无	0	无	0	无	0	-1
1121	121.277	314.8	46.9	朝向	-1.57	无	0	无	0	无	0	无	0	-1
1122	371.75	324.7	42.1	朝向	0	无	0	无	0	无	0	无	0	-1
1123	174.1	302	110.8	朝向	1.57	无	0	无	0	无	0	无	0	-1
1124	233.4	318.3	46.3	朝向	0	无	0	无	0	无	0	无	0	-1
1125	288.2	320.3	36.3	朝向	1.57	无	0	无	0	无	0	无	0	-1
1126	320.58	314.44	81.52	朝向	2	无	0	无	0	无	0	无	0	-1
1127	71.3	341.3	40.8	朝向	0	无	0	无	0	无	0	无	0	-1
1130	116	299.5	180	半径	4	朝向	-1.57	无	0	无	0	无	0	-1
1131	164.42	304.24	102.57	朝向	1.56	无	0	无	0	无	0	无	0	-1
1132	148.29	304.27	80.89	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1133	145.32	302.47	123.45	朝向	-2.59	无	0	无	0	无	0	无	0	-1
1134	171	303.5	142.24	朝向	1.21	无	0	无	0	无	0	无	0	-1
1135	162.47	302.54	163.79	朝向	-3.24	无	0	无	0	无	0	无	0	-1
1136	176.58	302.63	175.08	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1137	172.3	302.7	189.4	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1138	76.73	302.03	115.94	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1139	63.82	302.06	136.2	朝向	1.53	无	0	无	0	无	0	无	0	-1
1140	69.05	303.13	166.31	朝向	0	无	0	无	0	无	0	无	0	-1
1141	63.88	306.74	192.43	朝向	-1.54	无	0	无	0	无	0	无	0	-1
1142	65.25	303.73	165.78	朝向	-1.47	无	0	无	0	无	0	无	0	-1
1143	70.13	303.35	148.81	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1144	72.64	302.09	122.02	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1145	54.34	301.41	108.1	朝向	-4.63	无	0	无	0	无	0	无	0	-1
1146	94.62	301.74	88.54	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1147	132.61	301.41	54.31	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1148	123.25	305.13	98.42	朝向	-0.02	无	0	无	0	无	0	无	0	-1
1149	143	302.61	131.9	朝向	-4.59	无	0	无	0	无	0	无	0	-1
1150	94.23	299.86	55.7	朝向	-4.57	无	0	无	0	无	0	无	0	-1
1151	106.12	301.43	145.79	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1152	94.84	300.19	133.44	朝向	-3.03	无	0	无	0	无	0	无	0	-1
1153	88.92	303.21	178.48	朝向	-3.35	无	0	无	0	无	0	无	0	-1
1154	98.4	299.85	187.85	朝向	-2.05	无	0	无	0	无	0	无	0	-1
1155	130.68	302.8	120.99	朝向	-1.46	无	0	无	0	无	0	无	0	-1
1156	85	299.1	188.2	朝向	3.14	无	0	无	0	无	0	无	0	-1
1157	194	299.1	176.4	朝向	1.57	无	0	无	0	无	0	无	0	-1
1158	172	299.1	62.6	朝向	0	无	0	无	0	无	0	无	0	-1
1159	69.4	299.1	85	朝向	-1.57	无	0	无	0	无	0	无	0	-1
1200	158.2265	106.5938	384.5585	半径	-1.57	无	0	无	0	无	0	无	0	-1
1201	107.0845	74.48423	261.2328	半径	25	无	0	无	0	无	0	无	0	-1
1202	107.023	84.632	338.04	半径	-1.6	无	0	无	0	无	0	无	0	-1
1203	164.35	39.53148	138.6055	半径	18	无	0	无	0	无	0	无	0	-1
1204	112.314	50.32965	138.5336	半径	-1	无	0	无	0	无	0	无	0	-1
1205	263.19	31.78	139.33	半径	30	无	0	无	0	无	0	无	0	-1
1206	212.8232	37.98423	138.6506	半径	-1.6	无	0	无	0	无	0	无	0	-1
1207	106.7891	74.49274	278.7428	半径	-1.6	无	0	无	0	无	0	无	0	-1
1208	154.83	39.53148	138.6276	半径	0	无	0	无	0	无	0	无	0	-1
1209	258.6765	31.73451	137.8589	半径	-0.4	无	0	无	0	无	0	无	0	-1
1210	106.94	74.48	261.01	半径	-1.57	无	0	无	0	无	0	无	0	-1
1211	107.023	74.65	301.61	半径	-1.6	无	0	无	0	无	0	无	0	-1
1212	107.5952	70.47	204.9324	半径	-1.6	无	0	无	0	无	0	无	0	-1
1300	122.12	219	87.8	半径	0	无	0	无	0	无	0	无	0	-1
1301	96.24	224	152.7	半径	0	无	0	无	0	无	0	无	0	-1
1302	91.1	224	280	半径	0	无	0	无	0	无	0	无	0	-1
1303	133.44	228.8	330.45	半径	0	无	0	无	0	无	0	无	0	-1
1304	190	229	286.5	半径	0	无	0	无	0	无	0	无	0	-1
1305	200	223.8	215.7	半径	0	无	0	无	0	无	0	无	0	-1
1306	244.35	224	160.1	半径	0	无	0	无	0	无	0	无	0	-1
10000	250.29	300.98	364.7	朝向	2.11	无	0	无	0	无	0	无	0	-1
10001	229.25	300.51	24	朝向	2.11	无	0	无	0	无	0	无	0	-1
10002	209.6466	299.14	45.67213	朝向	2.11	无	0	无	0	无	0	无	0	-1
10003	78.16	393.78	355.62	朝向	1.69	无	0	无	0	无	0	无	0	-1
10004	266.3055	348.7918	341.7395	朝向	1.62	无	0	无	0	无	0	无	0	-1
10005	258.52	348.7918	369.9	朝向	1.62	无	0	无	0	无	0	无	0	-1
10006	52.81	322.0385	99.1	朝向	1.62	无	0	无	0	无	0	无	0	-1
10007	41.95	322	88.92	朝向	1.62	无	0	无	0	无	0	无	0	-1
10008	54.07	321.3	86	朝向	1.62	无	0	无	0	无	0	无	0	-1
10009	103.3	303.69	147.16	朝向	1.62	无	0	无	0	无	0	无	0	-1
10010	194.64	299.32	53.12	无	0	无	0	无	0	无	0	无	0	-1
30005	256.934	64.93867	183.38	朝向	1.57	无	0	无	0	无	0	无	0	-1
