Id	Description	CharModelID	Width	IsImportantNpc	IsLoadLowNpc
1045	婚礼现场应景NPC-二胡	4874	0	1	1
1046	婚礼现场应景NPC-小侍女	4875	0	1	1
1047	婚礼场景特别来宾-段誉	4876	0	1	1
1048	婚礼场景入口-易拉宝	4877	0	1	1
1100	猫咪	16100	0	1	-1
2429	新手副本-妖精友方	5	0	1	-1
2430	新手副本-鱼人喽啰1	10	0	1	-1
2431	新手副本-鱼人喽啰2	10	0	1	-1
2432	新手副本-鱼人法师	11	0	1	-1
2433	新手副本-萧远山子物体	1020	0	1	-1
2436	新手副本-鱼人法师2	11	0	1	-1
2437	新手副本-妖兽NPC1	1	0	1	-1
2438	新手副本-妖兽NPC2	12	0	1	-1
2439	新手副本-妖兽NPC3	12	0	1	-1
2440	新手副本-妖兽NPC4	12	0	1	-1
2441	通天湖—木桩NPC	10004	0	1	-1
2443	新手副本-神器箱1	13	0	1	-1
2444	新手副本-神器箱2	13	0	1	-1
2445	新手副本-神器箱3	13	0	1	-1
2446	新手副本-神器箱4作废	13	0	1	-1
2447	新手副本-神器箱5作废	13	0	1	-1
2448	新手副本-神器箱6作废	13	0	1	-1
2449	新手副本-鱼人雕像	14	0	1	-1
2450	新手副本-鱼人近战	10	0	1	-1
2451	新手副本-鱼人远程	11	0	1	-1
2454	新手副本-鱼人雕像2	15	0	1	-1
2455	新手副本-鱼人雕像3	16	0	1	-1
2458	新手副本-鱼人雕像4	19	0	1	-1
2459	新手副本-鱼人雕像5	20	0	1	-1
2461	新手副本-吞佛魔尊二阶段	9	120	1	-1
2469	青衣冢-怨魂机关	10	50	1	-1
2470	捉鬼NPC-通天湖-捉鬼	1343	0	1	-1
2471	捉鬼NPC-通天湖-鬼鬼	1344	0	1	-1
2482	巨腹蛛	10	0	1	-1
2483	化蛇	10	0	1	-1
2484	钦原	10	0	1	-1
2485	忘忧狸	10	0	1	-1
2486	横天翼龙	10	0	1	-1
2487	九尾狐	10	0	1	-1
2489	青藻生	10	0	1	-1
2515	捉鬼NPC-剑仙城-捉捉	1380	0	1	-1
2516	捉鬼NPC-剑仙城-肉包子	1381	0	1	-1
2517	捉鬼NPC-祖龙城-李四	1616	0	1	-1
2518	捉鬼NPC-祖龙城-罐子	1846	0	1	-1
2519	捉鬼NPC-祖龙城郊外	1582	0	1	-1
2520	捉鬼NPC-祖龙城郊外	1583	0	1	-1
2521	捉鬼NPC-万化城	1584	0	1	-1
2522	捉鬼NPC-万化城	1585	0	1	-1
2523	捉鬼NPC-积羽城	1586	0	1	-1
2524	捉鬼NPC-积羽城	1587	0	1	-1
2525	捉鬼NPC-寻梦港	1588	0	1	-1
2526	捉鬼NPC-寻梦港	1589	0	1	-1
2527	捉鬼NPC-任务接取NPC	1616	0	1	-1
2528	捉鬼NPC-通天湖（空中）	1682	1682	1	-1
2529	捉鬼入口-通天湖3	1596	0	1	-1
2530	捉鬼入口-祖龙城3	1589	0	1	-1
2531	捉鬼入口-祖龙城郊3	1589	0	1	-1
2532	捉鬼入口-积羽城3	2179	0	1	-1
2533	捉鬼预留	1383	0	1	-1
2534	捉鬼预留	1383	0	1	-1
2556	新手副本-洞底鱼人雕像	31	0	1	-1
2557	新手副本-洞底鱼人雕像2	32	0	1	-1
2558	新手副本-洞底鱼人雕像3	33	0	1	-1
2559	新手副本-洞底鱼人雕像4	34	0	1	-1
2604	横天翼龙	10	0	1	-1
2693	传送门	1510	0	1	-1
2712	天劫谷-boss1-透明怪	1510	0	1	-1
2713	凤鸣谷-boss-腐蚀大地透明怪	1510	0	1	-1
3357	新手本1206版吞佛魔尊武器	1510	5	1	-1
3393	凤鸣谷-定身小怪	11	0	1	-1
3399	3400-5399纯功能NPC占位，使用的各位请自行协商本段内部具体划分方式	1	0	1	-1
3400	名家诗文鉴赏-翰林院彭供奉	115	0	1	-1
3447	积羽城任务-药师王一帖	1588	0	1	-1
3462	通天湖任务-天城隐士	1008	0	1	-1
3999	CCB3凤鸣谷占用	1001	0	1	-1
4000	副本通用-自动战斗寻路-透明怪NPC	1510	0	1	-1
4001	CCB3凤鸣谷-暴躁鱼人	1001	0	1	-1
4002	CCB3凤鸣谷-愤怒鲛人	1002	0	1	-1
4003	CCB3凤鸣谷-怨念鱼人	1003	0	1	-1
4004	CCB3凤鸣谷-自爆水元素	1004	0	1	-1
4005	CCB3凤鸣谷-碧水金蟾	1005	0	1	-1
4008	CCB3凤鸣谷-BOSS-蓝神	1006	50	1	1
4009	CCB3凤鸣谷-BOSS-召唤怨气凌冽	1007	100	1	-1
4013	CCB3凤鸣谷-邪念水元素-水涌子物体	1510	0	1	-1
4058	CCB2凤鸣谷-BOSS-召唤水牢	1510	50	1	-1
4100	CCB3青衣冢占用	1001	0	1	-1
4104	CCB3青衣冢-鬼冢冥灯	1019	0	1	-1
4113	CCB3青衣冢-青衣子-百鬼夜行-棺木	1020	0	1	-1
4115	CCB3青衣冢-青衣子-回棺入梦-棺椁	1021	150	1	-1
4117	CCB3青衣冢-怨灵塔-百鬼葬-透明怪	1510	0	1	-1
4118	CCB3青衣冢-怨灵塔-百鬼缠身-透明怪	1510	0	1	-1
4154	OB-大秘境青衣冢-鬼冢冥灯	1019	0	1	-1
4163	OB-大秘境青衣冢-青衣子-百鬼夜行-棺木	1020	0	1	-1
4165	OB-大秘境青衣冢-青衣子-回棺入梦-棺椁	1021	150	1	-1
4167	OB-大秘境青衣冢-怨灵塔-百鬼葬-透明怪	1510	0	1	-1
4168	OB-大秘境青衣冢-怨灵塔-百鬼缠身-透明怪	1510	0	1	-1
4173	OB-大秘境青衣冢-怨灵塔-鬼点烛-烛火	1510	0	1	-1
4174	OB-大秘境青衣冢-怨灵塔-鬼点烛-烛火	1510	0	1	-1
4200	CCB3天劫谷占用	1001	0	1	-1
4201	CCB3天劫谷-金守卫	1009	50	1	-1
4202	CCB3天劫谷-木守卫	1010	50	1	1
4203	CCB3天劫谷-水守卫	1011	50	1	-1
4204	CCB3天劫谷-火守卫	1012	50	1	-1
4205	CCB3天劫谷-土守卫	1013	50	1	1
4207	CCB3天劫谷-BOSS2-蕴象	1014	0	1	-1
4208	CCB3天劫谷-BOSS2-獬豸	1015	0	1	-1
4209	CCB3天劫谷-BOSS2-饕餮	1016	0	1	-1
4210	CCB3天劫谷-BOSS2-紫貘	1017	0	1	-1
4211	CCB3天劫谷-BOSS2-牵脊	1018	0	1	-1
4212	CCB3天劫谷-BOSS2-蕴象	1014	600	1	-1
4213	CCB3天劫谷-BOSS2-獬豸	1015	600	1	-1
4214	CCB3天劫谷-BOSS2-饕餮	1016	300	1	-1
4215	CCB3天劫谷-BOSS2-紫貘	1017	400	1	-1
4216	CCB3天劫谷-BOSS2-牵脊	1018	300	1	-1
4218	CCB3天劫谷-BOSS1-句芒-风暴区	1510	0	1	-1
4219	CCB3天劫谷-獬豸-十字天火决-透明怪	1510	0	1	-1
4220	CCB3天劫谷-蕴象-满地荆棘-荆棘	1510	0	1	-1
4221	CCB3天劫谷-紫貘-闪电雷-透明怪	1510	0	1	-1
4222	CCB3天劫谷-句芒-萌芽陷阱-透明怪	1510	0	1	-1
4251	OB-大秘境天劫谷-金守卫	1009	50	1	-1
4252	OB-大秘境天劫谷-木守卫	1010	50	1	1
4253	OB-大秘境天劫谷-水守卫	1011	50	1	-1
4254	OB-大秘境天劫谷-火守卫	1012	50	1	-1
4255	OB-大秘境天劫谷-土守卫	1013	50	1	1
4257	OB-大秘境天劫谷-BOSS2-蕴象	1014	0	1	-1
4258	OB-大秘境天劫谷-BOSS2-獬豸	1015	0	1	-1
4259	OB-大秘境天劫谷-BOSS2-饕餮	1016	0	1	-1
4260	OB-大秘境天劫谷-BOSS2-紫貘	1017	0	1	-1
4261	OB-大秘境天劫谷-BOSS2-牵脊	1018	0	1	-1
4262	OB-大秘境天劫谷-BOSS2-蕴象	1014	600	1	-1
4263	OB-大秘境天劫谷-BOSS2-獬豸	1015	600	1	-1
4264	OB-大秘境天劫谷-BOSS2-饕餮	1016	300	1	-1
4265	OB-大秘境天劫谷-BOSS2-紫貘	1017	400	1	-1
4266	OB-大秘境天劫谷-BOSS2-牵脊	1018	300	1	-1
4268	OB-大秘境天劫谷-BOSS1-句芒-风暴区	1510	0	1	-1
4269	OB-大秘境天劫谷-獬豸-十字天火决-透明怪	1510	0	1	-1
4270	OB-大秘境天劫谷-蕴象-满地荆棘-荆棘	1510	0	1	-1
4271	OB-大秘境天劫谷-紫貘-闪电雷-透明怪	1510	0	1	-1
4272	OB-大秘境天劫谷-句芒-萌芽陷阱-透明怪	1510	0	1	-1
4273	OB-大秘境天劫谷-谷道2-风沙漩涡	1510	0	1	-1
4275	OB-大秘境-词缀漩涡-风沙漩涡	1510	0	1	-1
4300	CCB3怨灵之门占用	1001	0	1	-1
4332	CCB4熔火心（1转89）-熔岩之主-火圈	1510	50	1	-1
4334	CCB4熔火心（1转89）-熔火狐-火风空NPC	1510	50	1	-1
4382	CCB4熔火心·空（1转109级6人）-熔岩之主-火圈	1510	50	1	-1
4384	CCB4熔火心·空（1转109级6人）-熔火狐-火风NPC	1510	50	1	-1
4400	CCB3秘宝窟占用	1001	0	1	-1
4401	CCB3秘宝窟-废都狼妖	1023	50	1	-1
4402	CCB3秘宝窟-废都骨将	1022	50	1	1
4415	副本通用空白技能子物体	-1	50	1	-1
4482	CCB4熔火之门（1转89级12人）-熔岩之主-火圈	1510	50	1	-1
4484	CCB4熔火之门（1转89级12人）-熔火狐-火风空NPC	1510	50	1	-1
4500	CCB3仙魔幻天占用	1001	0	1	-1
4600	CCB3桃园炼狱占用	1001	0	1	-1
4699	自动寻路-路点功能-寻路NPC	-1	100	1	-1
4700	CCB389占用	1001	0	1	-1
4704	CCB3青衣冢-鬼冢冥灯（89级）	1019	0	1	-1
4715	CCB3青衣冢-青衣子-回棺入梦-棺椁（89级）	1021	150	1	-1
4716	CCB3青衣冢-鬼面狼蛛-毒池（89级）	1510	0	1	-1
4717	CCB3青衣冢-青衣子-百鬼葬-透明怪（89级）	1510	0	1	-1
4718	CCB3青衣冢-青衣子-百鬼缠身-透明怪（89级）	1510	0	1	-1
4800	CCB399占用	1001	0	1	-1
4801	CCB3天劫谷-金守卫（99级）	1009	50	1	-1
4802	CCB3天劫谷-木守卫（99级）	1010	50	1	1
4803	CCB3天劫谷-水守卫（99级）	1011	50	1	-1
4804	CCB3天劫谷-火守卫（99级）	1012	50	1	-1
4805	CCB3天劫谷-土守卫（99级）	1013	50	1	1
4807	CCB3天劫谷-BOSS2-蕴象-表现（99级）	1014	0	1	-1
4808	CCB3天劫谷-BOSS2-獬豸-表现（99级）	1015	0	1	-1
4809	CCB3天劫谷-BOSS2-饕餮-表现（99级）	1016	0	1	-1
4810	CCB3天劫谷-BOSS2-紫貘-表现（99级）	1017	0	1	-1
4811	CCB3天劫谷-BOSS2-牵脊-表现（99级）	1018	0	1	-1
4812	CCB3天劫谷-BOSS2-蕴象（99级）	1014	600	1	-1
4813	CCB3天劫谷-BOSS2-獬豸（99级）	1015	600	1	-1
4814	CCB3天劫谷-BOSS2-饕餮（99级）	1016	300	1	-1
4815	CCB3天劫谷-BOSS2-紫貘（99级）	1017	400	1	-1
4816	CCB3天劫谷-BOSS2-牵脊（99级）	1018	300	1	-1
4818	CCB3天劫谷-BOSS1-句芒-风暴区（99级）	1510	0	1	-1
4819	CCB3天劫谷-獬豸-十字天火决-透明怪（99级）	1510	0	1	-1
4820	CCB3天劫谷-蕴象-满地荆棘-荆棘（99级）	1510	0	1	-1
4821	CCB3天劫谷-紫貘-闪电雷-透明怪（99级）	1510	0	1	-1
4822	CCB3天劫谷-句芒-萌芽陷阱-透明怪（99级）	1510	0	1	-1
4823	CCB3天劫谷-谷道2-风沙漩涡（99级）	1510	0	1	-1
4900	CCB3109占用	1001	0	1	-1
5038	89级团队副本-12人覆霜城上-密迹雪狼-狩猎开始子物体	1510	0	1	-1
5040	89级团队副本-12人覆霜城上-魔哭九婴-鬼哭神泣子物体	1510	0	1	-1
5041	89级团队副本-12人覆霜城上-魔哭九婴-怒气滔天子物体	1510	0	1	-1
5042	89级团队副本-12人覆霜城上-玄霜巨龙-水洼透明NPC	1510	0	1	-1
5223	命运魔方活动-猎魔大师-大力士	1016	200	1	-1
5228	命运魔方活动-猎魔大师-坠落爆炸体	1510	0	1	-1
5331	命运魔方活动-虚空追击开启NPC	1510	0	1	-1
5332	命运魔方活动-虚空追击-流弹	1510	0	1	-1
5333	命运魔方活动-虚空追击-爆炸弹	1510	0	1	-1
5398	命运魔方活动-吐槽大会-未来代表	1582	50	1	-1
5399	命运魔方活动NPC站位-结束	1005	50	1	-1
5400	5400-14399剧情相关NPC占位	1	0	1	-1
5477	新手村主线任务-被感染的鱼人	1001	0	1	-1
5481	灵渡汀州-天谕兽图-天谕兽图	1689	0	1	1
5502	尚某人	1585	0	1	-1
5548	寻梦港主线-任务NPC-尚文商	1857	0	1	-1
5554	寻梦港主线-任务NPC-救死药剂	1760	0	1	1
5671	寻八部众经文NPC-积羽城长老	11001	0	1	-1
5735	祖龙城支线-老婆婆	1855	0	1	-1
5775	寻梦港支线-老婆婆	1855	0	1	-1
5801	满红的头发	1769	0	1	-1
5806	祖龙城支线-青衣战书-幽魂明灯	1019	0	1	-1
5844	寻龙任务-雷龙看守者	1589	0	1	-1
5857	寻龙任务-狂烈的异火	1577	0	1	-1
5883	OB祖龙城隐藏-虚拟NPC-锤子	1771	50	1	1
5934	寻梦港隐藏-sceneNPC神坛看守	1008	0	1	-1
5935	寻梦港隐藏-虚拟NPC逆天神像	1510	0	1	-1
5956	通天湖隐藏-五行法阵-阵法围边特效	2318	0	1	-1
5979	资料片1-祖龙城隐藏-葡萄酒	1846	0	1	-1
5980	资料片1-祖龙城隐藏-高粱酒	1846	0	1	-1
5981	资料片1-祖龙城隐藏-梨花酒	1846	0	1	-1
5982	资料片1-祖龙城隐藏-状元红	1846	0	1	-1
6055	受惊的土灵	1013	0	1	1
6056	受惊的土灵	1013	0	1	1
6091	祖龙城脚本任务3-演员百姓1	1582	0	1	-1
6108	祖龙城脚本任务3-演员百姓1会跑的	1582	0	1	-1
6130	祖龙城郊-主线-异象丛生<一>-交任务NPC-施温	1585	0	1	-1
6145	祖龙城郊-主线-荒野幽魂-交任务NPC-肉票1-虚拟	1582	0	1	-1
6151	祖龙城郊-主线-迷茫-跟随NPC-获救的百姓-虚拟	1582	0	1	-1
6213	祖龙城郊-任务镜像-怨灵刺客	10	0	1	-1
6227	祖龙城郊-野外怪物-海贼枯骨	1853	0	1	-1
6228	祖龙城郊-野外怪物-海贼枯骨	1853	0	1	-1
6309	祖龙城郊-野怪-土殇怨灵	1848	0	1	-1
6324	狱卒	2318	0	1	-1
6329	无妄海鱼人	1001	0	1	-1
6330	无妄海鲛人	1002	0	1	-1
6332	通天湖鱼人	1001	0	1	-1
6333	通天湖鲛人	1002	0	1	-1
6335	祖龙城郊-采集物-信笺	1689	0	1	1
6367	资料片1-祖龙城郊隐藏-叛军信使-萧烨	1616	0	1	-1
6386	资料片1-探索隐藏-剑仙城-遗落的剑	1773	0	1	1
6388	资料片1-探索隐藏-万化城-境泽	1582	0	1	-1
6467	刺骨之地气氛NPC-药师 温文	1616	0	1	-1
6473	刺骨之地气氛NPC-药师 简去病	1616	0	1	-1
6481	龙战之野-野怪-妖牛勇士	1009	0	1	-1
6510	刺骨之地隐藏-破冰行动-接任务冰	1021	50	1	-1
6512	刺骨之地隐藏-破冰行动-副本内冰	1021	50	1	-1
6513	刺骨之地隐藏-破冰行动-进副本冰	1021	0	1	-1
6537	资料片3隐藏-通天湖-鱼人NPC	1001	0	1	-1
6538	资料片3隐藏-通天湖-鱼人怪物	1001	0	1	-1
6559	资料片3传奇-生亦何欢-幻关卡符文特效1	1010	0	1	1
6560	资料片3传奇-生亦何欢-幻关卡符文特效2	1010	0	1	1
6561	资料片3传奇-生亦何欢-幻关卡符文特效3	1010	0	1	1
6562	资料片3传奇-生亦何欢-幻关卡符文特效4	1010	0	1	1
6563	资料片3传奇-生亦何欢-幻关卡符文特效5	1010	0	1	1
6625	资料片4传奇-天泪之城-小童	1582	0	1	-1
6630	资料片4龙战之野隐藏-精灵之泪-徘徊的怨灵（怪）	1672	50	1	-1
6632	资料片4龙战之野隐藏-精灵之泪-痛苦的幽灵（NPC）	1672	0	1	-1
6633	资料片4龙战之野隐藏-精灵之泪-暴怒的怨灵（NPC）	1672	0	1	-1
6634	资料片4龙战之野隐藏-精灵之泪-暴怒的怨灵（怪）	1672	50	1	-1
6636	资料片4龙战之野隐藏-黄昏秘境-被遗弃的背包（NPC）	1510	0	1	-1
6637	资料片4龙战之野隐藏-黄昏秘境-解谜副本入口（NPC）	1510	0	1	-1
6639	资料片4龙战之野隐藏-精灵之泪-痛苦的幽灵（NPC）	1672	0	1	-1
6667	资料片4-疾风草原隐藏任务-真·乔伊殿下	2266	0	1	-1
6673	资料片4龙战之野隐藏-被囚禁的人	1866	0	1	-1
6677	资料片4龙战之野隐藏-患难丈夫	1616	0	1	-1
6681	资料片4-疾风草原隐藏任务-丑陋的敌人	2267	0	1	-1
6682	资料片4-疾风草原隐藏任务-真·乔伊殿下	2266	0	1	-1
6686	资料片4-疾风草原隐藏任务-天气NPC环保使者	1008	0	1	-1
6687	资料片4-疾风草原隐藏任务-虚拟NPC环保使者	1008	0	1	-1
6735	资料片4传奇-海魂珠-胡老八技能移动目标	1510	0	1	-1
6741	资料片4传奇-海魂珠-胡老八刷BUFF	1510	0	1	-1
6746	资料片4传奇-海魂珠-胡老八技能移动目标	1510	0	1	-1
6747	资料片4传奇-海魂珠-胡老八技能移动目标	1510	0	1	-1
6748	资料片4传奇-海魂珠-胡老八技能移动目标	1510	0	1	-1
6799	资料片5隐藏-神子笔记-信之精灵	3011	0	1	-1
6800	资料片5隐藏-神子笔记-信之精灵	3011	0	1	-1
6801	资料片5隐藏-神子笔记-信之精灵	3011	0	1	-1
6802	资料片5隐藏-神子笔记-信之精灵	3011	0	1	-1
6803	资料片5隐藏-神子笔记-信之精灵	3011	0	1	-1
6816	资料片5传奇-预知之镜-堕落的杨吉	1023	0	1	-1
6826	资料片5传奇-天降异物-探测精灵	5006	0	1	-1
6827	资料片5传奇-天降异物-屏障1	5001	0	1	-1
6828	资料片5传奇-天降异物-屏障2	5002	0	1	-1
6829	资料片5传奇-天降异物-屏障3	5003	0	1	-1
6830	资料片5传奇-天降异物-屏障4	5004	0	1	-1
6831	资料片5传奇-天降异物-幽魂	5005	0	1	-1
6833	资料片5传奇-天降异物-影子	1860	0	1	-1
6848	情人节-功能NPC-答题NPC	1008	0	1	-1
6858	资料片6隐藏任务-死而复生-怨毒之灵	1848	0	1	-1
7855	反攻怨灵之门-真鬼子母-聚雷技能NPC	1510	50	1	-1
7856	反攻怨灵之门-真鬼子母-雷池	1510	50	1	-1
7863	反攻怨灵之门-破军七杀-杀戮盛宴-分身出现位置	1510	50	1	-1
7867	反攻怨灵之门-黑明圣帝-死亡禁区	1510	50	1	-1
7868	反攻怨灵之门-黑明圣帝-能量球	1510	50	1	-1
8010	隐藏任务-通天湖-触发NPC-罗拉的背包	1760	0	1	1
8066	OB第二批_祖龙城隐藏2_蒙面人接交任务	1906	0	1	-1
8067	OB第二批_祖龙城隐藏2_蒙面人镜像战斗	1906	0	1	-1
8075	OB第二批_祖龙城隐藏1_凶器	1773	0	1	1
