Id	DESC	Relation_0	Relation_1	Relation_2	Relation_3	Relation_4	Relation_5	Relation_6	Relation_7	Relation_8	Relation_9	Relation_10	Relation_11	Relation_12	Relation_13	Relation_14	Relation_15	Relation_16	Relation_17	Relation_18	Relation_19	Relation_20	Relation_21	Relation_22	Relation_23	Relation_24	Relation_25	Relation_26	Relation_27	Relation_28	Relation_29	Relation_30	Relation_31	Relation_32	Relation_33	Relation_34	Relation_35
10	雁门关-只和玩家敌对	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	雁门关-城门	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	雁门关-攻城车	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	城战-守方	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	城战-攻方1	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
15	城战-攻方2	0	0	1	2	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
16	城战-攻方3	0	0	1	2	0	0	0	0	0	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
17	城战-攻方4	0	0	1	2	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
18	PVP队员友好，其余敌对	0	0	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	怪物召唤陷阱NPC的势力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	与3敌对的怪物	2	0	0	2	0	2	2	2	0	0	0	0	0	2	2	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	所有玩家互相敌对	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	怪物攻城-BOSS（攻击者）	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
23	怪物攻城-我方建筑（受攻击者）	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
24	EVE1传奇任务	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
25	EVE2传奇任务	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
26	帮会野外战旗（战旗处）	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	城战守方NPC-城门	0	0	1	2	0	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
28	城战攻方NPC-攻城槌	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
29	大荒古境占领点资源	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	勇闯通天塔	0	0	1	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
31	帮会争霸赛旗子	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	天影风云天一阁人的阵营	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
33	天影风云暗影盟人的阵营	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
34	天影风云天一阁NPC不索敌	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
35	天影风云暗影盟NPC不索敌	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
